자치구,법정동,지번,경도,위도,PNU,대지면적_m2,건폐율_pct,용적률_pct,주택형태,노후년수,임대세대수,공시지가_2026_원per_m2,지형높이,지형형상,도로접면,OSC공법,신규임대유형,지하철역_800m,버스정류장_800m,초등학교_800m,중고등학교_800m
서초구,염곡동,100-34,127.0515214,37.4623081,1165011000101000034,238.80,59.75,173.90,단독주택,23.5,12,5133000,평지,사다리형,세로각지(가),소형,청년,0,16,0,0
강남구,역삼동,672-22,127.0392597,37.5041465,1168010100106720022,244.70,59.93,162.62,단독주택,28.0,9,9400000,평지,가로장방,세로한면(가),소형,청년,2,38,0,0
강남구,역삼동,743-8,127.0354599,37.4971332,1168010100107430008,391.50,55.95,126.91,단독주택,28.2,16,9754000,평지,가로장방,세로한면(가),소형,청년,2,57,1,0
강남구,역삼동,747-8,127.0377231,37.4960776,1168010100107470008,334.10,41.31,144.33,,27.0,10,12170000,평지,세로장방,세로한면(가),소형,청년,1,51,1,1
강남구,역삼동,794-13,127.0374462,37.4930175,1168010100107940013,186.80,59.43,150.48,단독주택,27.9,9,7546000,평지,자루형,세로한면(가),소형,청년,0,44,2,3
강남구,역삼동,797-9,127.0391208,37.4946912,1168010100107970009,,,,,,,9851000,평지,정방형,세로한면(가),소형,청년,1,43,1,3
강남구,역삼동,834-70,127.0351809,37.4932566,1168010100108340070,0.00,0.00,0.00,공동주택,37.8,3,7546000,평지,자루형,세로한면(가),,청년,0,61,2,2
강남구,역삼동,834-71,127.0351301,37.4933621,1168010100108340071,222.79,49.34,96.74,공동주택,37.8,6,7546000,평지,자루형,세로한면(가),소형,신혼부부,0,61,2,2
강남구,개포동,1173-4,127.0517911,37.473633,1168010300111730004,117.00,68.20,102.72,공동주택,29.3,6,6309000,평지,세로장방,세로한면(가),소형,신혼부부,0,42,1,3
강남구,개포동,1206-7,127.0496995,37.4777718,1168010300112060007,258.80,58.55,155.59,단독주택,31.6,15,5828000,평지,정방형,세로한면(가),소형,청년,0,50,2,3
강남구,개포동,1235-1,127.0462518,37.4776313,1168010300112350001,173.90,59.68,179.03,단독주택,30.2,12,5776000,평지,가로장방,세로한면(가),소형,신혼부부,0,54,3,4
강남구,개포동,1237-14,127.046548,37.4780523,1168010300112370014,279.50,59.55,170.65,단독주택,28.9,17,9184000,평지,세로장방,소로한면,중형,신혼부부,0,56,2,4
강남구,청담동,11-6,127.0465392,37.5219679,1168010400100110006,200.40,59.95,174.57,단독주택,28.8,9,10880000,평지,정방형,세로한면(가),소형,청년,2,29,2,3
강남구,청담동,11-7,127.0463721,37.521974,1168010400100110007,422.90,56.93,154.69,단독주택,28.0,13,11830000,평지,정방형,세로각지(가),소형,신혼부부,2,30,2,3
강남구,청담동,20-6,127.0424652,37.5221011,1168010400100200006,272.10,53.62,138.24,단독주택,22.2,6,11150000,평지,자루형,세로한면(가),중형,청년,1,31,2,3
강남구,청담동,26-27,127.0437545,37.5196298,1168010400100260027,221.60,56.56,159.62,단독주택,28.2,7,10800000,평지,세로장방,세로한면(가),소형,청년,1,32,2,2
강남구,청담동,55-11,127.0530635,37.5232393,1168010400100550011,300.60,55.54,151.10,단독주택,27.1,10,11420000,평지,사다리형,세로한면(가),소형,청년,1,25,1,1
강남구,청담동,123-32,127.0504766,37.5259043,1168010400101230032,213.60,59.33,148.77,단독주택,29.0,9,14080000,평지,가로장방,세로한면(가),소형,신혼부부,1,21,1,3
강남구,삼성동,9-13,127.0430045,37.5147116,1168010500100090013,232.40,59.92,173.44,단독주택,29.3,9,11960000,평지,세로장방,세로한면(가),소형,청년,2,35,3,2
강남구,삼성동,25-15,127.0494413,37.5151818,1168010500100250015,244.30,59.94,187.88,공동주택,22.6,9,12520000,평지,세로장방,세로각지(가),소형,청년,4,28,2,2
강남구,삼성동,26-12,127.0485521,37.5148406,1168010500100260012,343.00,58.19,160.34,단독주택,22.8,9,11800000,평지,정방형,세로한면(가),소형,신혼부부,4,31,2,2
강남구,삼성동,29-8,127.0458767,37.5136461,1168010500100290008,253.60,59.97,168.96,,23.7,12,9477000,평지,자루형,세로한면(가),소형,청년,3,28,3,1
강남구,삼성동,34-5,127.0430953,37.5133868,1168010500100340005,268.60,59.90,202.32,공동주택,22.8,12,11020000,평지,세로장방,세로한면(가),소형,청년,2,35,3,1
강남구,삼성동,36-2,127.0442131,37.5122837,1168010500100360002,199.90,59.70,200.16,공동주택,24.0,6,12120000,평지,정방형,세로한면(가),소형,청년,3,35,2,1
강남구,삼성동,39-3,127.0448971,37.5122633,1168010500100390003,190.00,58.31,152.95,단독주택,29.6,9,10760000,평지,정방형,세로한면(가),소형,청년,3,33,2,1
강남구,삼성동,44-6,127.0475592,37.5119297,1168010500100440006,226.00,59.79,174.30,단독주택,28.8,9,11950000,평지,자루형,소로한면,소형,청년,2,30,2,1
강남구,삼성동,46-24,127.048356,37.5134725,1168010500100460024,192.40,59.82,174.73,단독주택,31.1,9,11380000,평지,가로장방,세로한면(가),소형,신혼부부,3,27,2,1
강남구,삼성동,47-15,127.0494224,37.5138204,1168010500100470015,411.80,39.96,79.91,단독주택,32.5,9,12160000,평지,정방형,세로한면(가),소형,청년,3,30,1,2
강남구,삼성동,61-6,127.0548549,37.5179746,1168010500100610006,254.20,59.98,197.45,공동주택,22.6,9,11960000,평지,세로장방,세로한면(가),중형,신혼부부,3,27,1,2
강남구,삼성동,120-11,127.0538171,37.5107761,1168010500101200011,265.90,57.07,151.05,단독주택,27.8,12,11100000,평지,자루형,세로한면(가),소형,청년,2,40,1,2
강남구,대치동,915-8,127.0583235,37.5013695,1168010600109150008,345.40,59.73,145.40,단독주택,28.3,14,8754000,평지,사다리형,세로한면(가),소형,청년,0,44,2,6
강남구,대치동,916-55,127.0558551,37.5006566,1168010600109160055,233.60,58.15,152.75,,29.4,15,9229000,평지,세로장방,세로각지(가),소형,신혼부부,1,43,3,8
강남구,대치동,916-64,127.0557616,37.5003545,1168010600109160064,243.70,58.74,188.67,공동주택,21.1,7,8528000,평지,정방형,세로한면(가),소형,신혼부부,1,42,3,8
강남구,대치동,1015-2,127.058451,37.4972722,1168010600110150002,355.20,59.81,137.79,단독주택,26.6,11,7421000,평지,자루형,세로한면(가),소형,청년,2,42,4,4
강남구,신사동,522-15,127.0202732,37.5209135,1168010700105220015,242.53,56.91,149.99,단독주택,31.5,16,13680000,평지,가로장방,세로한면(가),소형,청년,1,32,1,3
강남구,신사동,555-33,127.0250008,37.5209578,1168010700105550033,201.40,57.42,158.00,단독주택,29.1,9,10880000,평지,가로장방,세로각지(가),소형,청년,2,28,1,3
강남구,논현동,16-19,127.0210085,37.5151971,1168010800100160019,238.30,38.89,77.78,단독주택,32.2,5,10800000,평지,정방형,세로한면(가),소형,청년,2,31,0,1
강남구,논현동,72-5,127.0322578,37.5186252,1168010800100720005,199.90,49.86,131.67,단독주택,34.1,7,10270000,평지,세로장방,세로한면(가),소형,청년,1,35,0,1
강남구,논현동,73-10,127.0310828,37.5182858,1168010800100730010,229.70,46.99,128.69,,30.2,9,9094000,평지,정방형,세로한면(가),소형,청년,1,30,0,1
강남구,논현동,95-3,127.0379681,37.5217865,1168010800100950003,,,,,,,8495000,평지,자루형,세로한면(가),소형,청년,1,32,1,2
강남구,논현동,99-17,127.0381753,37.520877,1168010800100990017,177.80,53.86,125.28,단독주택,27.4,3,9416000,평지,자루형,세로한면(가),소형,청년,1,32,1,2
강남구,논현동,100-17,127.0380357,37.5202494,1168010800101000017,,,,,,,8495000,평지,자루형,세로한면(가),소형,청년,1,31,1,2
강남구,논현동,100-25,127.0388038,37.5201716,1168010800101000025,257.00,59.72,165.87,단독주택,26.6,9,11800000,평지,정방형,세로한면(가),소형,청년,1,31,1,2
강남구,논현동,100-29,127.0387421,37.520315,1168010800101000029,,,,,,,8495000,평지,자루형,세로한면(가),소형,청년,1,31,1,2
강남구,논현동,103-13,127.0391704,37.5197534,1168010800101030013,170.70,54.26,142.58,단독주택,28.3,5,10990000,평지,세로장방,세로한면(가),소형,청년,1,33,1,2
강남구,논현동,103-14,127.039281,37.5197969,1168010800101030014,,,,,,,11910000,평지,가로장방,세로각지(가),소형,청년,1,33,1,2
강남구,논현동,107-15,127.0367564,37.5180698,1168010800101070015,199.70,56.37,153.49,단독주택,29.1,5,10870000,평지,사다리형,세로각지(가),소형,청년,2,38,2,2
강남구,논현동,131-2,127.0298362,37.5124156,1168010800101310002,,,,,,,10400000,평지,가로장방,세로한면(가),소형,청년,3,35,1,0
